TaskID,TaskName,Category,Duration,RequiredSkills,PreferredPhases,MaxConcurrent
T001,Frontend Development,Development,5,"JavaScript,React","1-3",2
T002,,Backend,0,"Python,Django","[2,4]",1
T003,API Integration,Development,3,"Node.js,REST","2-4",3
T004,Database Design,Database,4,"SQL,PostgreSQL,NoRequiredSkills","[1,3,5]",-1
T005,UI/UX Design,Design,2,"UnknownSkill,Figma","[1,2]",2
T006,Machine Learning,DataScience,6,"Python,TensorFlow","1-5",1
T007,Testing & QA,Testing,-2,"Testing,Selenium","[3,4,5]",1
T008,DevOps Setup,Infrastructure,3,"Docker,Kubernetes","invalid_phase_format",2
T001,Duplicate Task,Development,4,"JavaScript","[1,2]",1
T010,Valid Task,Development,3,"JavaScript,Testing","2-3",2 
